name	mode	code
ADC	#	69
ADC	X,ind	61
ADC	abs	6D
ADC	abs,X	7D
ADC	abs,Y	79
ADC	ind,Y	71
ADC	zpg	65
ADC	zpg,X	75
AND	#	29
AND	X,ind	21
AND	abs	2D
AND	abs,X	3D
AND	abs,Y	39
AND	ind,Y	31
AND	zpg	25
AND	zpg,X	35
ASL	abs,X	1E
ASL	zpg,X	16
BCC	rel	90
BCS	rel	B0
BEQ	rel	F0
BIT	abs	2C
BIT	zpg	24
BMI	rel	30
BNE	rel	D0
BPL	rel	10
BVC	rel	50
BVS	rel	70
CLC	impl	18
CLD	impl	D8
CLI	impl	58
CLV	impl	B8
CMP	#	C9
CMP	X,ind	C1
CMP	abs	CD
CMP	abs,X	DD
CMP	abs,Y	D9
CMP	ind,Y	D1
CMP	zpg	C5
CMP	zpg,X	D5
CPX	#	E0
CPX	abs	EC
CPX	zpg	E4
CPY	#	C0
CPY	abs	CC
CPY	zpg	C4
DEC	abs	CE
DEC	abs,X	DE
DEC	zpg	C6
DEC	zpg,X	D6
DEX	impl	CA
DEY	impl	88
EOR	#	49
EOR	X,ind	41
EOR	abs	4D
EOR	abs,X	5D
EOR	abs,Y	59
EOR	ind,Y	51
EOR	zpg	45
EOR	zpg,X	55
INC	abs	EE
INC	abs,X	FE
INC	zpg	E6
INC	zpg,X	F6
INX	impl	E8
INY	impl	C8
JMP	abs	4C
JMP	ind	6C
JSR	abs	20
LDA	#	A9
LDA	X,ind	A1
LDA	abs	AD
LDA	abs,X	BD
LDA	abs,Y	B9
LDA	ind,Y	B1
LDA	zpg	A5
LDA	zpg,X	B5
LDX	#	A2
LDX	abs	AE
LDX	abs,Y	BE
LDX	zpg	A6
LDX	zpg,Y	B6
LDY	#	A0
LDY	abs	AC
LDY	abs,X	BC
LDY	zpg	A4
LDY	zpg,X	B4
LSR	A	4A
LSR	abs	4E
LSR	abs,X	5E
LSR	zpg	46
LSR	zpg,X	56
NOP	impl	EA
ORA	abs,X	1D
ORA	abs,Y	19
ORA	ind,Y	11
ORA	zpg,X	15
PHA	impl	48
PLA	impl	68
PLP	impl	28
ROL	A	2A
ROL	abs	2E
ROL	abs,X	3E
ROL	zpg	26
ROL	zpg,X	36
ROR	A	6A
ROR	abs	6E
ROR	abs,X	7E
ROR	zpg	66
ROR	zpg,X	76
RTI	impl	40
RTS	impl	60
SBC	#	E9
SBC	X,ind	E1
SBC	abs	ED
SBC	abs,X	FD
SBC	abs,Y	F9
SBC	ind,Y	F1
SBC	zpg	E5
SBC	zpg,X	F5
SEC	impl	38
SED	impl	F8
SEI	impl	78
STA	X,ind	81
STA	abs	8D
STA	abs,X	9D
STA	abs,Y	99
STA	ind,Y	91
STA	zpg	85
STA	zpg,X	95
STX	abs	8E
STX	zpg	86
STX	zpg,Y	96
STY	abs	8C
STY	zpg	84
STY	zpg,X	94
TAX	impl	AA
TAY	impl	A8
TSX	impl	BA
TXA	impl	8A
TXS	impl	9A
TYA	impl	98
